stock,total,positive,negative,neutral,sentiment_index,등급
SK텔레콤,1,1,0,0,1.0,매우 긍정적
KB금융,7,7,0,0,1.0,매우 긍정적
CJ ENM,1,1,0,0,1.0,매우 긍정적
전진건설로봇,1,1,0,0,1.0,매우 긍정적
미래에셋증권,1,1,0,0,1.0,매우 긍정적
카카오,1,1,0,0,1.0,매우 긍정적
NAVER,1,1,0,0,1.0,매우 긍정적
안랩,2,2,0,0,1.0,매우 긍정적
LG전자,1,1,0,0,1.0,매우 긍정적
CJ,1,1,0,0,1.0,매우 긍정적
롯데쇼핑,1,1,0,0,1.0,매우 긍정적
현대차,2,1,1,0,0.0,중립적
KT,2,0,2,0,-1.0,매우 부정적
LG생활건강,1,0,1,0,-1.0,매우 부정적
아모레퍼시픽,1,0,1,0,-1.0,매우 부정적
