stock,total,positive,negative,neutral,sentiment_index
SK텔레콤,1,1,0,0,1.0
KB금융,7,7,0,0,1.0
CJ ENM,1,1,0,0,1.0
전진건설로봇,1,1,0,0,1.0
NAVER,1,1,0,0,1.0
카카오,1,1,0,0,1.0
미래에셋증권,1,1,0,0,1.0
안랩,2,2,0,0,1.0
LG전자,1,1,0,0,1.0
CJ,1,1,0,0,1.0
롯데쇼핑,1,1,0,0,1.0
현대차,2,0,1,1,-0.5
KT,2,0,2,0,-1.0
LG생활건강,1,0,1,0,-1.0
아모레퍼시픽,1,0,1,0,-1.0
